hh_id,survey_year,data_source,rural,agent_time_min,settlement
18084,2019,FinScope,0,25.5,33110
18110,2019,FinScope,0,,33110
18139,2019,FinScope,0,,33110
18166,2019,FinScope,0,,33110
18193,2019,FinScope,0,90.0,33110
18219,2019,FinScope,0,,33110
18233,2019,FinScope,0,,33110
18258,2019,FinScope,0,,33110
18294,2019,FinScope,1,45.5,33206
18311,2019,FinScope,1,,33206
18339,2019,FinScope,1,,33206
18360,2019,FinScope,1,,33206
18384,2019,FinScope,1,,33206
18414,2019,FinScope,1,90.0,33206
18437,2019,FinScope,1,,33206
18473,2019,FinScope,1,,33206
18491,2019,FinScope,1,,33210
18514,2019,FinScope,1,45.5,33210
18545,2019,FinScope,1,25.5,33210
18568,2019,FinScope,1,,33210
18587,2019,FinScope,1,90.0,33210
18611,2019,FinScope,1,,33210
18637,2019,FinScope,1,45.5,33210
18662,2019,FinScope,1,,33210
18690,2019,FinScope,0,45.5,33214
18717,2019,FinScope,0,,33214
18740,2019,FinScope,0,45.5,33214
18767,2019,FinScope,0,90.0,33214
18788,2019,FinScope,0,45.5,33214
